,,,,,,,,
,,,,,,,,
time,iso,mean,median,sigma,avgDev,min,max,bg noise
20,400,2049,2049,38.8,9.6,1884,15305,12.057 (1.840e-04)
40,400,2049.4,2049,47.9,11.3,1915,15306,14.012 (2.138e-04)
60,400,2050,2048,54.6,15.6,1909,15307,18.925 (2.888e-04)
75,400,2050.4,2048,55.6,17,1903,15307,20.431 (3.118e-04)
90,400,2052.9,2049,59.2,21.3,1832,15312,25.686 (3.919e-04)
120,400,2054.1,2049,64.3,26.6,1867,15313,31.992 (4.882e-04)
20,800,2050.3,2049,54.6,16.8,1730,15306,21.197 (3.234e-04)
40,800,2050.7,2048,58.9,21.3,1772,15308,26.406 (4.029e-04)
60,800,2053.8,2049,67.4,30.5,1793,15311,37.205 (5.677e-04)
75,800,2055.4,2050,71.1,33.8,1775,15313,41.032 (6.261e-04)
90,800,2059.2,2050,82.9,44,1768,15318,53.276 (8.129e-04)
120,800,2066.6,2054,98.9,56,1723,15323,67.878 (1.036e-03)
20,1600,2052.3,2049,67.6,32.4,1485,15308, 40.952 (6.249e-04)
40,1600,2056.2,2051,78.7,42.5,1435,15312,52.839 (8.063e-04)
60,1600,2066,2056,104.1,62.9,1499,15320,76.729 (1.171e-03)
75,1600,2069.5,2057,114,69.7,1497,15322,84.819 (1.294e-03)
90,1600,2083.6,2065,144.1,91,1501,15333,110.706 (1.689e-03)
120,1600,2101.1,2075,184.1,117.5,1456,15340,142.825 (2.179e-03)
20,3200,2058.2,2053,99.1,62.6,983,15311,79.364 (1.211e-03)
40,3200,2069.8,2059,129.2,85.2,800,15322,105.692 (1.613e-03)
60,3200,2093.4,2072,188.1,126.3,1010,15339, 154.477 (2.357e-03)
75,3200,2097.7,2073,210.5,140.3,1035,15338,171.093 (2.611e-03)
90,3200,2120.4,2084,274.1,182.7,962,15358,222.418 (3.394e-03)
120,3200,2144.7,2091,361.1,238.7,840,15376,289.865 (4.423e-03)
