,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,iso,time,mean,median, Sigma, AvgDev, Min, Max
,,800,20,2049.9,2049,49.6,14.6,1790,15306
,,800,40,2050.7,2049,57.5,19.4,1756,15306
,,800,60,2053.3,2050,62.8,25.6,1790,15310
,,800,90,2056.3,2050,74.5,36.6,1750,15313
,,800,120,2063.3,2053,93.1,51.5,1647,15322
,,1600,20,2053.6,2050,72.7,37.7,1521,15312
,,1600,40,2061.6,2053,94.6,56.2,1555,15316
,,1600,60,2073.7,2060,123.1,77.1,1427,15327
,,1600,90,2093.8,2069,175.2,112.9,1441,15339
,,1600,120,2122.2,2085,241,156.8,1391,15358
,,3200,20,2067.8,2058,125.9,84.4,1057,15317
,,3200,40,2093.3,2072,191.8,130.9,985,15335
,,3200,60,2120,2083,273.4,185.5,937,15360
,,3200,90,2150.5,2087,412.8,277.4,774,15388
,,3200,120,2138.7,2040,580.3,387,495,15430
